,"綿谷 泰典","知識工学に基づく自動倉庫システムの運用法に関する研究",
1986,"S61",3
,"澤田 清","FMSにおける搬送台車の経路決定に関する研究",
,"大村 佳也子","FMS設計支援シミュレータの開発とその応用",
,"藤本 晶士","階層構造を持つ多工場間の生産調整に関する研究",
1985,"S60",3
,"南後 裕二","ファジィパラメータを含む多目的計画問題に対する対話型意志決定",
,"金澤 典一","多関節型ロボットの動作経路探索に関する基礎研究",
,"藤井 三喜男","シネアンギオグラムに基づく脳血管３次元化処理に関する研究",
1984,"S59",3
,"湯峯 亨","多目的システムにおける対話型ファジィ満足化意志決定手法とその応用",
,"渋谷 真","生産システムの性能評価シミュレータとその応用",
,"西崎 一郎","n人ファジィゲームにおける新しい解の概念の展開",
,"鎌田 悦輔","ロボット動作空間における干渉判定と障害物回避に関する基礎研究",
1983,"S58",3
,"中井 裕司","ロットサイズ・スケジューリングに関する研究",
,"野村 訓弘","脳血管構造３次元情報計測に関する研究",
,"市川 宏一","多工場多期間生産計画に関する研究",
,"森 直宏","重みづけノルムに基づく対話型多目的意志決定とその応用",
,"王 進","総納期ずれ損失最小化スケジューリングに関する研究",
,"郭 俊桔","３次元測定機のDBB方式による最適精度検査手順に関する研究",
,"植村 芳樹","直列型待ち行列システムにおけるバッファ配置に関する研究",
1982,"S57",3
,"矢野 均","対話型ファジィ多目的意志決定手法とその応用",
,"鈴木 善晴","多変量時系列のモデル化と予測",
,"牟礼 宏","脳血管造影像に基づく血管抽出と３次元構成",
1981,"S56",3
,"新明 善彦","対話型生産システム・シミュレータの開発",
,"高重 道雄","ARMAモデルによる多変量時系列解析に関する研究",
,"伊藤 浩次","脳波データの時系列解析システムの研究",
,"田住 幸三","非凸性を考慮した大規模システムに対する対話型多目的意志決定とその応用",
,"陳 哲聴","最適寿命試験計画法に関する研究",
,"芝田 佳樹","肝疾患血液検査データの統計的解析",
1980,"S55",3
,"畑間 俊哉","A Study on Rectilinear Facility Location-Allocation Ploblem",
,"吉田 稔","コンピュータ断層像の３次元立体構成表示システムの開発",
,"柴崎 三郎","二湾港を考慮した湾港開発とその波及効果に関する研究",
,"二見 昌剛","数学教育用CAIシステムにおける数式入出力と正誤判定に関する研究",
,"三道 弘明","ベイズ信頼性解析と寿命試験法に関する研究",
1979,"S54",3
,"笹倉 孝之","環境システムにおける大規模多目的最適化",
,"荒田 賢司","大規模多目的最適化手法による信頼性設計",
,"田井 政好","多品種スケジューリングに関する基礎研究",
,"長谷川 純雄","個人間の公平性を考慮した集団意志決定支援のための手法とその応用",
,"川野 常夫","肝シンチグラムの自動計測とび慢性肝疾患の自動診断に関する研究",
,"河村 英敏","寿命データのベイズ解析と寿命試験法に関する研究",
,"吉岡 秀典","計算機援用設計における図形表示ソフトウェアに関する研究",
1978,"S53",3
,"澤田 一哉","水質源計画問題における多目的最適化",
,"井之上 健","納期を考慮した最適スケジューリングに関する研究",
